"Measure","Year","Ethnicity","Sex","Threshold","Mean","Value","Upper Confidence Interval","Lower Confidence Interval","Sample Size"
"Anxiety","2014","Other ","All","Low","N/A","23.07","25.79","20.34","-"
"Anxiety","2014","White","All","Very_Low","N/A","40.74","41.08","40.39","-"
"Anxiety","2014","White Gypsy / Traveller ","All","Very_Low","N/A","?","?","?","-"
"Anxiety","2014","Mixed","All","Very_Low","N/A","34.18","37.76","30.61","-"
"Anxiety","2014","Indian","All","Very_Low","N/A","37.79","40.17","35.4","-"
"Anxiety","2014","Pakistani","All","Very_Low","N/A","39.03","42.32","35.74","-"
"Anxiety","2014","Bangladeshi","All","Very_Low","N/A","42.6","47.68","37.51","-"
"Anxiety","2014","Chinese","All","Very_Low","N/A","34.97","40.11","29.83","-"
"Anxiety","2014","Asian other","All","Very_Low","N/A","39.43","43.28","35.58","-"
"Anxiety","2014","Black","All","Very_Low","N/A","41.03","43.2","38.85","-"
"Anxiety","2014","Arab","All","Very_Low","N/A","30.27","36.41","24.14","-"
"Anxiety","2014","Other ","All","Very_Low","N/A","37.57","41.06","34.07","-"
"Anxiety","2015","White","All","High","N/A","19.3","19.57","19.03","-"
"Anxiety","2015","White Gypsy / Traveller ","All","High","N/A","?","?","?","-"
"Anxiety","2015","Mixed","All","High","N/A","22.52","25.83","19.22","-"
"Anxiety","2015","Indian","All","High","N/A","19.84","21.79","17.9","-"
"Anxiety","2015","Pakistani","All","High","N/A","17.71","20.22","15.21","-"
"Anxiety","2015","Bangladeshi","All","High","N/A","20.39","24.64","16.14","-"
"Anxiety","2015","Chinese","All","High","N/A","15.54","19.26","11.81","-"
"Anxiety","2015","Asian other","All","High","N/A","18.56","21.43","15.69","-"
"Anxiety","2015","Black","All","High","N/A","17.73","19.25","16.21","-"
"Anxiety","2015","Arab","All","High","N/A","24.07","29.39","18.75","-"
"Anxiety","2015","Other ","All","High","N/A","17.3","19.76","14.85","-"
"Anxiety","2015","White","All","Medium","N/A","16.33","16.59","16.08","-"
"Anxiety","2015","White Gypsy / Traveller ","All","Medium","N/A","?","?","?","-"
"Anxiety","2015","Mixed","All","Medium","N/A","19.9","23.24","16.56","-"
"Anxiety","2015","Indian","All","Medium","N/A","17.68","19.55","15.81","-"
"Anxiety","2015","Pakistani","All","Medium","N/A","18.02","20.38","15.66","-"
"Anxiety","2015","Bangladeshi","All","Medium","N/A","18.93","22.76","15.09","-"
"Anxiety","2015","Chinese","All","Medium","N/A","20.53","24.98","16.08","-"
"Anxiety","2015","Asian other","All","Medium","N/A","18.08","21.04","15.11","-"
"Anxiety","2015","Black","All","Medium","N/A","17.13","18.73","15.53","-"
"Anxiety","2015","Arab","All","Medium","N/A","23.58","29.74","17.41","-"
"Anxiety","2015","Other ","All","Medium","N/A","18.91","21.61","16.21","-"
"Anxiety","2015","White","All","Low","N/A","23.16","23.46","22.86","-"
"Anxiety","2015","White Gypsy / Traveller ","All","Low","N/A","?","?","?","-"
"Anxiety","2015","Mixed","All","Low","N/A","25.24","28.86","21.62","-"
"Anxiety","2015","Indian","All","Low","N/A","24.32","26.39","22.25","-"
"Anxiety","2015","Pakistani","All","Low","N/A","22.94","25.68","20.2","-"
"Anxiety","2015","Bangladeshi","All","Low","N/A","21.63","25.92","17.33","-"
"Anxiety","2015","Chinese","All","Low","N/A","25.08","29.61","20.55","-"
"Anxiety","2015","Asian other","All","Low","N/A","25.89","29.15","22.63","-"
"Anxiety","2015","Black","All","Low","N/A","23.14","24.95","21.32","-"
"Anxiety","2015","Arab","All","Low","N/A","21.84","27.25","16.44","-"
"Anxiety","2015","Other ","All","Low","N/A","24.59","27.73","21.45","-"
"Anxiety","2015","White","All","Very_Low","N/A","41.2","41.56","40.85","-"
"Anxiety","2015","White Gypsy / Traveller ","All","Very_Low","N/A","?","?","?","-"
"Anxiety","2015","Mixed","All","Very_Low","N/A","32.34","36","28.68","-"
"Anxiety","2015","Indian","All","Very_Low","N/A","38.16","40.58","35.73","-"
"Anxiety","2015","Pakistani","All","Very_Low","N/A","41.33","44.84","37.82","-"
"Anxiety","2015","Bangladeshi","All","Very_Low","N/A","39.06","44.13","33.98","-"
"Anxiety","2015","Chinese","All","Very_Low","N/A","38.85","44.26","33.45","-"
"Anxiety","2015","Asian other","All","Very_Low","N/A","37.48","41.26","33.69","-"
"Anxiety","2015","Black","All","Very_Low","N/A","42.01","44.17","39.84","-"
"Anxiety","2015","Arab","All","Very_Low","N/A","30.52","36.7","24.33","-"
"Anxiety","2015","Other ","All","Very_Low","N/A","39.2","42.59","35.81","-"
"Anxiety","2016","White","All","High","N/A","19.77","20.06","19.49","-"
"Anxiety","2016","White Gypsy / Traveller ","All","High","N/A","?","?","?","-"
"Anxiety","2016","Mixed","All","High","N/A","21.97","25.16","18.78","-"
"Anxiety","2016","Indian","All","High","N/A","18.83","20.63","17.02","-"
"Anxiety","2016","Pakistani","All","High","N/A","17.78","20.1","15.45","-"
"Anxiety","2016","Bangladeshi","All","High","N/A","18.13","22.22","14.03","-"
"Anxiety","2016","Chinese","All","High","N/A","15.56","18.87","12.25","-"
"Anxiety","2016","Asian other","All","High","N/A","17.51","20.23","14.8","-"
"Anxiety","2016","Black","All","High","N/A","19.32","20.96","17.68","-"
"Anxiety","2016","Arab","All","High","N/A","24.6","30.34","18.86","-"
"Anxiety","2016","Other ","All","High","N/A","19.26","21.99","16.53","-"
"Anxiety","2016","White","All","Medium","N/A","16.3","16.57","16.04","-"
"Anxiety","2016","White Gypsy / Traveller ","All","Medium","N/A","?","?","?","-"
"Anxiety","2016","Mixed","All","Medium","N/A","18.81","21.88","15.73","-"
"Anxiety","2016","Indian","All","Medium","N/A","18.21","20.08","16.33","-"
"Anxiety","2016","Pakistani","All","Medium","N/A","21.48","24.31","18.65","-"
"Anxiety","2016","Bangladeshi","All","Medium","N/A","22.05","26.2","17.9","-"
"Anxiety","2016","Chinese","All","Medium","N/A","18.43","22.65","14.21","-"
"Anxiety","2016","Asian other","All","Medium","N/A","19.93","22.95","16.9","-"
"Anxiety","2016","Black","All","Medium","N/A","16.93","18.59","15.27","-"
"Anxiety","2016","Arab","All","Medium","N/A","21.03","26.11","15.95","-"
"Anxiety","2016","Other ","All","Medium","N/A","17.95","20.6","15.3","-"
"Anxiety","2016","White","All","Low","N/A","23.38","23.7","23.07","-"
"Anxiety","2016","White Gypsy / Traveller ","All","Low","N/A","?","?","?","-"
"Anxiety","2016","Mixed","All","Low","N/A","24.22","27.61","20.82","-"
